Name,Hours,Location,isFeatured,isNew,Description,Logo,Category
Mont Blanc,All week days - 11am to 10pm.,Palladium First Level,,,"Luxury German brand Montblanc has embraced the traditions of lasting value and exquisite designs for over 100 years. Its uncompromising demands on shape, style, materials and workmanship have been reflected in its products. Montblanc star emblem represents the snow-covered peak of the Mont Blanc - the highest European mountain, symbolising the brand’s commitment to the highest quality and finest European craftsmanship. The iconic Montblanc emblem is a symbol of excellence, the pinnacle of luxury writing instruments, timepieces, jewelry, leather, fragrances and sunglasses and with its roots in writing, the brand has made an enduring commitment to encourage excellence through cultural initiatives. Montblanc writing instruments are a tribute to the finest master craftsmen. The brand is known for their excellence in designing the iconic Meisterstuck fountain pens in Hamburg since 1924. This year the luxe writing instrument celebrated its 90 years of the spirit of Meisterstück, introducing icons for the time to come. It was 1997 when then-Montblanc CEO Norbert Platt faced the wristwatch press after the introduction of the first Montblanc watches. Montblanc Montre S.A. was established in Le Locle - the heart of the Swiss watch industry - to maintain the brands philosophy of master craftsmanship and to satisfy the high quality expectations made on Meisterstuck watches. The first Montblanc watch collection, with design cues from the popular Montblanc Meisterstuck pen, was far from a mere novelty. The Montblanc Meisterstuck watch proved to be the success that put Montblanc watches on the road to haute horlogerie, and by 2006, Montblanc was a full-fledged manufacture. The high-end leather goods are crafted from the finest quality materials, and range from bags, wallets, money clips and diaries. The boutique is here to cater to the needs of customers looking for gifting options as well as items for personal use. Making available all these products at the boutique, the store is here to cater to the needs of the brand patrons. The boutique at Palladium Mall is spread across 1100 sq ft. and gives the ultimate shopping experience to the shoppers. The store also displays a huge image of the Hollywood veteran actor Hugh Jackman who was announced as its global brand ambassador of Montblanc this year at the Salon International de la Haute Horlogerie (SIHH) in Geneva, Switzerland. Individual, timeless and exclusive, it is the epitome of everything Montblanc stands for.",,"Home Decor / Accessories, Gifts , Hobbies"
Montegrappa,All week days - 11am to 10pm.,Palladium Level One,,,"Founded in 1912, Montegrappa is Italy’s first manufacturer of luxury writing instruments. The company continues to operate in the same historic building in Bassano del Grappa in the prosperous north-eastern part of Italy. The brand is well-known for its rich heritage and expertise in manufacturing the world’s most beautiful pens, tastefully handcrafted by skilled Italian artisans. Montegrappa′s craftsmen boast the world′s most expensive pen ever sold, the Tibaldi Fuglor Nucturnus, which was sold at an auction in 2010 for USD $8.5M. Montegrappa pens symbolise the pinnacle of power and the ultimate luxury gift. Today, Montegrappa continues a long tradition of craftsmanship in producing exquisite hand-made masterpieces that celebrate mankinds mastery of the written word. Appreciated by pen collectors, writers, statesmen and celebrities, as well as anyone with an appreciation of the finer things in life, Montegrappas products embody the pride, passion, style and sophistication that make up the soul of Italy. In addition to celebrating modern and contemporary musicians such as Frank Sinatra and Elvis Presley, Montegrappa also has a long association with the classics and classical music. Montegrappa′s Stradivari pens, dedicated to the legendary 17th century violin maker have become collectibles. It is a tradition at Montegrappa to honor notable personalities from various walks of life - people who have influenced and inspired generations in their own unique style. The recent additions to this esteemed list include the football legend Pele, Music Composer and Producer Quincy Jones, all time F1 racing champion Ayrton Senna and Khalil Gibran, one of the most celebrated poets in the history of mankind. And then there is the unique piece of art, the Guardian Angel pen, dedicated not to any living legend, but to the otherworldly spirit who watches over us in times of grief and difficulty. With such a diverse portfolio of brilliant masterpieces, writing instruments continue to be the main focus of the company. But at the same time, Montegrappa also offers a wide range of elegant wristwatches, cufflinks, fragrance and leather accessories that suit the taste and style of every individual.",,"Home Decor / Accessories, Gifts , Hobbies"
Mother Care,All week days - 11am to 10pm.,SkyZone First Level,,,"Mothercare specialises in quality, safety and innovative products and services for mothers, mothers-to-be, babies and young children.",,Kids Fashion
NAUTICA,All week days - 11am to 10pm.,Palladium Second Level,,,"Founded in 1983, Nautica® is a leading global lifestyle brand ranging from men’s, women’s and children’s apparel and accessories to a complete home collection. Nautica® products are refined casual classics inspired and energized by the water that are always crisp, clean and distinct. Today Nautica® is available in more than 75 countries with 265 full price Nautica® branded stores and over 3,000 Nautica branded shop-in-shops worldwide. In 2003, the Company was acquired by VF Corporation, a global leader in branded lifestyle apparel and footwear with more than 30 brands. The company’s five largest brands are The North Face®, Vans®, Wrangler®, Timberland®, and Lee®. Other brands include 7 For All Mankind®, Bulwark®, Eagle Creek®, Eastpak®, Ella Moss®, JanSport®, Kipling®, lucy®, Majestic®, Napapijri®, Nautica®, Red Kap®, Reef®, Riders®, Splendid® and SmartWool®. For additional information, please go to www.nautica.com and www.vfc.com.",,Mens Fashion
Nike,All week days - 11am to 10pm.,Skyzone Ground Level,,,The most popular brand in sports has a range of sportswear for men and women including sports equipemnt and fitness gear.,,"Sportswear , Sportsgear"
Nikon,All week days - 11am to 10pm.,High Street Units,,,"Nikon India, the 100% subsidiary of Nikon Corporation, leader in imaging technology, recently inaugurated its D-SLR zone in association with Colo Color Pvt.ltd. - Mumbai. The inauguration is in line with Nikons plan to expand its presence in the Western India through increased retail outlets. The new D-SLR Zone will give customers access to the entire range of Nikon D-SLR cameras along with the COOLPIX range, Nikon 1 series, Nikon Sport Optics range, array of NIKKOR lenses , Nikon accessories. The company has adopted such retail concept providing customers the opportunity to experience world-class products before they make a purchase decision.",,"Electronics, Gizmos , Gadgets"
Nine West,All week days - 11am to 10pm.,Palladium Second Level,,,"Nine West Group, Inc. is a footwear company that specializes in women shoes. The company manufactures both women casual and women dress footwear. Nine West shoes are known for their fit, comfort and style. The company is dedicated to bringing women the latest look in footwear fashion at affordable prices. The store is now open at The Palladium.",,"Foot Fashion, Bags, Luggage , Accessories"
Noodle Bar,All week days - 11am to 10pm.,Courtyard,,,"The destination for Oriental cuisine which offers diners a menu thats as diverse as the countries the dishes originate in. Pick from a range of tantalizing soups, and steaming dumplings to begin your dining experience.",,"Cafes, Restaurants , Desserts"
OM Book Shop,All week days - 11am to 10pm.,Grand Galleria,,,Om Book Shop has a large collection of books and great bargains. There is something there for everyone from art to computers to fashion,,"Books, Music, Toys , Games"
Om Ved,All week days - 11am to 10pm.,Grand Galleria,0,,"Omved is a different type of store the first of its kind in the world. So whether youre after high quality organic spices endorsed by Eco Cert, Ayurganic - herbaldyed organic, bath and bed linen, pvc free yoga mats, non-toxic incense or 100% chemical free body, hair and face care products, were your natural choice.",,"Home Decor / Accessories, Gifts , Hobbies"
ONLY (palladium),All week days - 11am to 10pm.,Palladium Second Level,,,"ONLY wants to create a denim revolution, spreading the true jeans-attitude to everybody. The aim is to transform the everyday life from grey and monotonous to fun, colorful and creatively eventful. As an original jeans brand, you11 find all must haves within jeans fashion and fittings in ONLY collections. No matter if it is the everyday outfit or the look for a Friday night out ONLY has the clothes for your closet.",,Womens Fashion
only (skyzone),All week days - 11am to 10pm.,Skyzone Ground Level,,,"ONLY wants to create a denim revolution, spreading the true jeans-attitude to everybody. The aim is to transform the everyday life from grey and monotonous to fun, colorful and creatively eventful. As an original jeans brand, you11 find all must haves within jeans fashion and fittings in ONLY collections. No matter if it is the everyday outfit or the look for a Friday night out ONLY has the clothes for your closet.",,
Orama,All week days - 11am to 10pm.,Courtyard,,,"Orama Carnival Street at High Street Phoenix is the perfect family , kids entertainment zone.",,"Multiplex, FEC , Entertainment"
Pantaloons,All week days - 11am to 10pm.,Skyzone Ground Level,,,"Pantaloons provides a range of apparel options for both men and women. The store stocks formal, informal, Indian, sportswear including a range of accessories for each section. The store covers 3 floors of quality merchandise from both home made, national and internatioanl brands .",,"Department Stores, Mini Department Store"
Parcos,All week days - 11am to 10pm.,GG Connect,,,"PARCOS gives your shopping experience a makeover! Find all the premium brands like Aigner, Azzaro, Burberry, Calvin Klien, Carolina Herrera, Cartier, Davidoff, DKNY, Dolce , Gabbana, Elizabeth Arden, Escada, Ferrari, Givenchy, Gucci, Georgio Armani, Isse Miyake, Jean Paul Galutier, Kenzo, Loewe, Lanvin, Lacoste, Nina Ricci, Paco Rabanne, Prada, Ralph Lauren, Thierry Mugler, Versace, and Yves Saint Laurent in one store now! Are you heading to PARCOS soon",,"Cosmetics, Salon, Spas , Optics"
Parcos Skincare,All week days - 11am to 10pm.,GG Connect,,,"Parcos Lux brings a truly International Beauty shopping environment to the Indian Consumer, where great attention to detail has been made in every aspect. Beauty is at the core of all we do and we hope it is reflected in our stores . The stores boast of some of the top Luxury brands in the world, set in an equally luxurious store environment. Skincare , Make up brands include- Sisley, Clarins, Guerlain, Elizabeth Arden, Shiseido and Dior and additionally a variety of the most luxurious fragrance brands. At Parcos, our focus is to educate customers on maintaining healthy and glowing skin, teaching different makeup application methods, to make theirBeauty experience more satisfying. Beauty Consultants ensure the customer is truly looked after and well informed. Everything about Beauty excites us and we try to create a space where the Customer can feel at ease to shop for their favoriteBeauty Brands. Indeed, even the name PARCOS is an abbreviation of the Frenchwords, ""Parfums , Cosmetique"", meaning Perfumes , Cosmetics. Parcos Lux stores are currently located at Phoenix Mills and Kemps Corner in Mumbai. For further details please see -www.facebook.com/ParcosIndia",,"Cosmetics, Salon, Spas , Optics"
Park Avenue,All week days - 11am to 10pm.,Skyzone Ground Level,,,"From the house of Raymond, Park Avenue provides formal wear with accessories to both men and women.",,General Fashion
Patchouli,All week days - 11am to 10pm.,Grand Galleria,,,"Patchouli, the fashion store at Grand Galleria, High Street Phoenix, Mumbai is the latest retail statement from the multi-faceted Gayatri Ruia. The stores USP is its range of chic and stylish, wearable and affordable designs in cotton crafts and traditional, indigenous fabric and embellishments married with international styling and trends. Patchouli houses collections from several designers and labels some of which include Ruh by Pooja Singhal, Linarika by Lina Tipnis, Let Me Be, Rachna Shah, Aparna Kayal, Earth Shines etc. Patchouli presents both known as well as upcoming and an in-house line as well. Apparel and specially customized accessories alongwith saris,dupattas, stoles and yardage will complete the merchandize offering.The sizing too ranges from xs to xxl thus further customizing the line. Another important highlight of the collections at Patchouli is Ahilya a not for profit organization formed as a collaborative initiative with Gayatri Ruia. The objective behind Ahilya is to reincarnate and reintroduce the gradually fading craft of Maheshwari weaves.",,Womens Fashion
"Paul , Shark",All week days - 11am to 10pm.,Palladium Ground Level,,,"Paul,Shark is an Italian luxury sportswear brand distinguished by the unmistakable shark logo. This distinctive insignia has over the years become synonymous with freedom, casual elegance and comfort around the world. The Paul,Shark consumer is sporty, well off, travels for business or for pleasure and plays at least a couple of sports but above all he loves the weekend and relaxing outdoors. The Paul,Shark store at Palladium, Mumbai offers the Indian consumers a complete menswear collection that can be worn in diverse social occasions like workplace, holiday, leisure time and traveling. The collection includes a bright and colorful selection of casual yet elegant polos and shirts, trousers, shorts, lightweight and technical outerwear which can stylishly teamed with fine accessories and footwear.",,Mens Fashion
Paul Smith,All week days - 11am to 10pm.,Palladium Ground Level,,,"Paul Smith offers a handpicked selection of luxury leather goods, acsessories and watches.",,Mens Fashion
Pavers England,All week days - 11am to 10pm.,GG Connect,,,"A Global chain of luxury and fashionable shoes, Pavers England at Grand Galleria, High Street Phoenix is where you should go to for trendy, chic and very comfortable shoes and accessories. Pavers England offers a vast range of mens and womens footwear that fits well and helps you walk with comfort. The Pavers England store at High Street Phoenix is a heaven of style, class and trend. With a large collection of shoes and accessories on their flamboyant shelves, a visit here is a shoppers delight!",,"Foot Fashion, Bags, Luggage , Accessories"
Pepe Jeans,All week days - 11am to 10pm.,SkyZone Ground Level,,,"Pepe Jeans store at High Street Phoenix is one of the flagship stores in Mumbai. With a sprawling space of 900 sq. ft. and located in the fashionable Sky Zone area, this store is the ultimate one-stop destination for the latest fashion trends in denim and casual wear for the young and fashion conscious. On entering the store one gets transferred to the city of London. Separate wall units and display systems dedicated for various collections add to the grandeur of the store. International fashion trends can be spotted at this store the same time they are in Pepe European Store. Shoppers are treated to cutting edge European trends and international styles.",,General Fashion
Play/Ra (Tryst),All week days - 11am to 10pm.,,,0,,,"Cafes, Restaurants , Desserts"
PROMOD,All week days - 11am to 10pm.,"Palladium, First Level",,,We will provide updated information soon,,Womens Fashion
Puma,All week days - 11am to 10pm.,Skyzone Ground Level,,,"Puma sportswear provide range of sports merchandise including sportswear, apparel and gear to chose from.",,"Sportswear , Sportsgear"
PUNJAB GRILL,All week days - 11am to 10pm.,Palladium Third Level,,,The restaurant offers good wholesome and quality Punjabi ethnic cuisine.,,"Cafes, Restaurants , Desserts"
PURE GOLD,All week days - 11am to 10pm.,Grand Galleria Ground Level,,,"Pure Gold Jewellers is the realization of a dream and the fulfilment of a vision: to create a brand that consistently delights the customer with excellence and innovation. It all began two decades ago in 1989, when Firoz Merchant, breathed life into an idea that took shape as the first Pure Gold Jewellers store. Being over 2 decades in the market, Pure Gold Jewellers has matured over the years with more than 125 stores in the Middle East and Asia. We are also in the process of opening further 450 stores worldwide. We have strength of 1,500 staff including 180 professionals. By combining the latest design, extensive retail experience, and a range of innovative concepts . Today, Pure Gold Jewellers has developed as a leading jeweller in the Middle East and Asia with two factories in India and one in China, employing over 2,000 craftsmen and professionals, all of which dedicated , qualified to cater to the needs of its fast growing clientele. Thereby having 3500 associates under Pure Gold Group. Pure Commitment Excellence and innovation are the two pillars on which Pure Gold Jewellers has been built. As a market leader in this trade for the past two decades, we have shown the way forward by becoming the first jewellery retailers to gain ISO certification in the year 2002. In 2008, 2009, 2010, 2011 and for the fifth time, Pure Gold Jewellers was awarded ""Best Service Performance Brand"" in the Large Business Category by the Department of Economic Development, Government of Dubai. This award is a recognition of Pure Gold Jewellers excellent standards of customer service and our ethical best practices We provide: A certificate of genuineness -ensuring only original, best-quality jewellery. Lifetime exchange -Allowing exchange of jewellery at any time. Lifetime repair -providing complete peace of mind, at all times. We thus ensure that the benefits, which come with our jewellery, are as exceptional as the jewellery itself.",,"Watches, Jewellery , Fashion Accessories"
Pure Living,All week days - 11am to 10pm.,Palladium Third Level,,,"Pure Home + Living, is a contemporary store with a wide range of products for the modern, Indian home. Pure Home+Living is a contemporary store designed to transform your home and living spaces. Our products are handpicked from across the globe to lend a stunning appeal to your home with colors that reflect mood of your life. Add Pure Elegance to your home with our selection of furniture, bedding, tableware, furnishing, decoration, mirrors and more.",,"Home Decor / Accessories, Gifts , Hobbies"
PVR Cinemas,All week days - 11am to 10pm.,Grand Galleria,,,PVR Cinemas is one of the best multiplex and offers best services to its customers.,,"Multiplex, FEC , Entertainment"
"Quiksilver , Roxy",All week days - 11am to 10pm.,Courtyard,,,"Quiksilver designs, produces and distributes clothing, accessories and related products for young-minded people and develops brands that represent a casual lifestyle driven from a board riding heritage. Quiksilvers authenticity is evident in its innovative products, events and retail environments across the globe.",,General Fashion
Raymond MtoM,All week days - 11am to 10pm.,,,,,,Mens Fashion
Raymond Weil,All week days - 11am to 10pm.,High Street Unit,,,"The Brand RAYMOND WEIL brings together all the elements of excellence of the Swiss luxury watch making industry. Precision, quality, reliability, nobility and technical nature of the materials are many standards that the Geneva-based Brand combines to create its models. This know-how confers RAYMOND WEIL its watch making legitimacy.",,"Watches, Jewellery , Fashion Accessories"
Reebok,All week days - 11am to 10pm.,Skyzone Ground Level,,,"Reebok provides international sports wear and accessories merchandise. The store also stocks contemporary sports clothing as per various well known sports events such as F1, T20 and so forth. It has also instore fitness products and accessories.",,"Sportswear , Sportsgear"
Reliance Digital express,All week days - 11am to 10pm.,Palladium Second Level,,,"Reliance Digital Express is an Apple Premium Reseller and your local Apple expert. iStore offers a range of Apple products and accessories. In addition, they offer services and workshops around all Apple products.",,"Electronics, Gizmos , Gadgets"
Rocia,All week days - 11am to 10pm.,Skyzone Ground Level,,,Rocia provides international range of quality footwear for men and women.,,"Foot Fashion, Bags, Luggage , Accessories"
Rohit Bal,All week days - 11am to 10pm.,Palladium Second Level,,,"One of Indias most famous and leading mens fashion designer, this boutique in particular stocks unquie designs in ethnic and contemporary outfits for women .",,Designer Wear
ROSSO BRUNELLO,All week days - 11am to 10pm.,GG Connect,,,"In 2010, ROSSO BRUNELLO, a Malaysian brand was first launched in New Delhi. The brand deals in products of genuine Spanish calf leather for men and man made leather for women. The brand brings unconventional styles and diverse choices to inspire men , women to explore new definition of fashion in footwear. The brand has since further expanded with 8 exclusive stores across India. The collection for men offers contemporary footwear, while the womens collection offers a diverse line of footwear resonating elegance and sophistication with feminine demeanor and classic designs of hand bags and wallets with a modernistic twist. Grand Galleria is one of the best malls of Mumbai. Its is situated in Lower Parel west .The flagship store of Rosso Brunello is located in this mall.",,"Foot Fashion, Bags, Luggage , Accessories"
Royce,All week days - 11am to 10pm.,Palladium Ground Level,,,"ROYCE is a Japanese chocolate maker and confectioner based in Hokkaido, Japan’s northernmost island. ROYCE has grown from Hokkaido’s best-kept secret to an international phenomenon by crafting confectioneries that are brimming with flavor and bursting with originality. After 30 years of traveling the world, ROYCE has finally arrived in India.",,"Cafes, Restaurants , Desserts"
SAMSONITE BLACK LABEL,All week days - 11am to 10pm.,Palladium Third level,,,"Samsonite, created in 1910 by entrepreneurial Colorado native Jesse Shwayder, is the world’s leading luggage brand. Inspiring travel world-wide, Samsonite helps global travelers to cover miles and create memories with revolutionary travel solutions. Preserving the brands longstanding history of breakthroughs in research and development, Samsonite has embedded its place at the forefront of the travel world with a number of industry firsts. Showing commitment to innovation, the unique hard side collections made with the revolutionary Curv® material and the soft side ranges created with Advanced Hybrid Technology(TM) (AHT) join a wide spectrum of business, casual and personal accessory products in upholding Samsonite’s position as a market leader and trendsetter. Remembering past triumphs but always looking forward, Samsonite maintains a worldwide vision that continues to enable",,"Foot Fashion, Bags, Luggage , Accessories"
Samsung,All week days - 11am to 10pm.,High Street Units,,,Visit the store to browse through the latest application and new designs in Samsung smartphones.,,"Electronics, Gizmos , Gadgets"
Satya Paul Acc,All week days - 11am to 10pm.,Palladium First Level,,,"Satya Paul is a premier designer label synonymous with signature prints, evocatively feminine designs and timeless style that has established itself as a global brand, unhindered by national boundaries. Satya Paul has achieved an inimitable style. The look is distinguished and identifiable on the street. Every collection centers around a fashion forward theme, keeping the brand abreast of each season trends and looks.",,"Watches, Jewellery , Fashion Accessories"
Satya Paul Signature,All week days - 11am to 10pm.,Palladium First Level,,,"Satya Paul is a premier designer label synonymous with signature prints, evocatively feminine designs and timeless style that has established itself as a global brand, unhindered by national boundaries. Satya Paul has achieved an inimitable style. The look is distinguished and identifiable on the street. Every collection centers around a fashion forward theme, keeping the brand abreast of each seasons trends and looks.",,Designer Wear
seven east,All week days - 11am to 10pm.,"Seven East, has a multi ethnic logo, etched in symbolism and traditional. Ethnicity, grace, versatility and energy are all a part of the logo. The signature script for the logo , in ""lady silver"" hue, speaks of the rich attention to detail received by every garment; and how it adds to the style quotient of every woman.",,,"Seven East, has a multi ethnic logo, etched in symbolism and traditional. Ethnicity, grace, versatility and energy are all a part of the logo. The signature script for the logo , in ""lady silver"" hue, speaks of the rich attention to detail received by every garment; and how it adds to the style quotient of every woman.",,
Shahenaz Home Shop,All week days - 11am to 10pm.,Palladium Third Level,,,"The store has premium home decor products such as cushion covers and accessories such as tassels, drapes and curtain rings etc .",,"Home Decor / Accessories, Gifts , Hobbies"
Shaze,All week days - 11am to 10pm.,Palladium First Level,,,"Shazé is a premium lifestyle brand that believes in creating only the finest Designs. Crafted by the most talented artisans and craftsmen from across the globe, each design is handpicked with a keen eye on subtlety, finesse, artistry and uniqueness. Our range consists of exquisite products ranging from Home décor, Pooja collection, Idols, Barware, Candle stands, Photo Frames , more.",,"Home Decor / Accessories, Gifts , Hobbies"
SISLEY,All week days - 11am to 10pm.,Palladium First Level,,,"Sisley represents an unmistakable fashion presence in the clothing world, and a recognizable way of dressing. Every season, Sisley launches men and womens collections whose basic objective is to be always on the same wavelength as those who follow fashion and keep themselves abreast of the trendiest tendencies.",,General Fashion
Smoke House Deli,All week days - 11am to 10pm.,Courtyard,,,"Located in the bustling hub of High Street Phoenix is Mumbais newest gourmet haven - Smoke House Deli. Brought to Mumbai by Impresario Entertainment , Hospitality Pvt Ltd. This all-day cafe and delicatessen is open from 9am till midnight. Begin at breakfast with supple vanilla pancakes, rich maple syrup and cream, lavish in a light lunch of smoked chicken and asparagus salad and then digest until its time to devour a dinner of slow cooked lamb shanks. And if that isnt enough, the cafe also features a wide range of cocktails, wines, beer as well as the finest white , dark spirits and single malts to round up the experience.",,"Cafes, Restaurants , Desserts"
Soch,All week days - 11am to 10pm.,Skyzone First level,,,"""SOCH is designed for the modern Indian woman. The brand offers a wide range of designer ethnic wear like sarees, salwar suits and kurtas. Also available are a variety of chudidars and patialas, which when mixed and matched make for a unique style statement. The collection is perfect for a party, the office or just a night out. What’s more, with a presence in over 46 locations, nationally, it’s always easy to find a SOCH retailer. Fashioned from fabrics like cottons, chiffons, and blends, SOCH is for women of all ages who effortlessly balance work and home while still looking their best. Every week, new outfits are added to the collection, bringing the latest trends as they happen. From chic embroideries to authentic block-printed patterns, there’s a perfect outfit for every occasion.""",,Womens Fashion
Sony Centre,All week days - 11am to 10pm.,High Street Units,,,"Sony is one of the worlds leading manufacturers for consumer electronics and broadcast , professional products. Established for more half a decade, Sony is known for it innovative and high quality products. This section takes you through all the Sony products from its establishment till now.",,"Electronics, Gizmos , Gadgets"
SportXS,All week days - 11am to 10pm.,Grand Galleria Ground Level,,,"SPORTXS celebrates one of the oldest human activities - SPORTS. SPORTXS as a retail chain started in 2009 with its first store in Bangalore and now with more than 18 stores across at prime malls across India, encouraging people to test, feel and buy sports gear, equipment and accessories. SPORTXS is the ultimate destination where a plethora of emotions come together to celebrate sport, ambition and integrity. We believe in creating a well organized and pulsating environment that at present showcases over 4000 products across 32 sport categories and 60+ brands. SPORTXS has created a platform for sport lovers, enthusiasts and professionals alike to come together and share their common passion. SPORTXS is expanding rapidly across the scene, allowing sports enthusiasts to across India to enjoy access to high-quality sports equipment. Explore , Engage theory brings customers closer to a sport of their liking by allowing them touch and feel. Taking its proven Explore , Engage theory online, SPORTXS is offering good quality products from world renowned brands and exhaustive product categories. SPORTXS strives to help our customers make informed choices along with personal attention to every customer. Mission: To enhance the online shopping experience by providing a simple, memorable and easy solution to your online shopping needs. Thereby, creating a platform for strong and lengthy relationship based on Sports. Vision: Creating an environment for the people through easily accessible platform of ecommerce and mobile websites and helping promote sports as a life style in India.",,"Sportswear , Sportsgear"
Starbucks,All week days - 11am to 10pm.,Grand Galleria First level,,,"The Starbucks store at High Street Phoenix, Lower Parel provides that distinct Third Place, between work and home, and opportunities to connect with others over handcrafted beverages prepared by passionate baristas. The store design is inspired by textile mills - an integral part of Mumbai’s history. Weaving in colourful cotton spool art and woven railings, the store integrates authentic factory windows, raw concrete finishing, white brick wall contrast with warm woods and luxurious rich fabrics. Suspended ceiling fans and plush patio seating create an inviting experience and a “warehouse artisan palette is used to compliment the former textile mill at this location. The store is open for customers from 8am to 1.30am every day.",,"Cafes, Restaurants , Desserts"
Steve Madden,All week days - 11am to 10pm.,Palladium First Level,,,"Steve Madden is an iconic footwear brand from New York. Steve Madden designs, sources and markets fashion-forward footwear and accessories for women, men and children. Steve Madden brand represents a lifestyle. Inspired by rock and roll, fused with a jolt of sex appeal and urban edge, Madden continues to create designs that are innovative, fun, sometimes wild and always spot-on-chic. In the last twenty years, the company has made significant and groundbreaking strides in expanded collections, categories, licensing agreements and acquisitions. Steve Madden has entered India through a long term license agreement with Reliance Brands Limited. Through this association, Steve Madden products will be available through exclusive monobrand stores and premium department stores in all major cities across India. Positioned as a bridge between hi-street and luxury, the brand will offer a cutting-edge range of fashion forward, of-the-moment designs across footwear and a variety of accessories. The stores will also offer Madden Girl, a fashionable line for younger girls who wish to make a statement. In addition to marketing products under its owned brands including Steve Madden, Steven by Steve Madden, Madden Girl, Betsey Johnson, Betseyville and Big Buddha, the Company is the licensee of various brands including Olsenboye for footwear, handbags and belts, Elizabeth and James, l.e.i. and Glo for footwear and Daisy Fuentes for handbags.",,"Foot Fashion, Bags, Luggage , Accessories"
Stuart Weitzman,All week days - 11am to 10pm.,Palladium,,,"Capturing the attention of a stylish shoe - obsessed women of all ages, Stuart Weitzman understands that a great shoe is about more than just a form of function; it is about making women feel beautiful. For over 25 years, Stuart Weitzman has been committed to creating this experience, making shoes that care, adorn and adore a woman’s foot - shoes that ignite her imagination, making her feel glamorous. It produces over 600 styles a year, inventing new silhouettes, adapting wondrous materials and engineering the most comfortable fit.",,"Foot Fashion, Bags, Luggage , Accessories"
Subway,All week days - 11am to 10pm.,Skyzone Ground Level,,,"The all American snack brand for healty, fresh and nutrious subways and sandwiches can be found here. The outlet also stocks cold beverages and cookies . One can pick up a mini meal, deli sandwich or salads on the go.",,"Cafes, Restaurants , Desserts"
Sukho Thai,All week days - 11am to 10pm.,Skyzone First Level,,,"Take a break from your routine and unwind in an air of peace and tranquility at our luxury spa. Indulge your senses with exotic Thai foot massages to create a rejuvenating experience. Sukho Thai Spa offers an ambiance that?? truly world class! Inside the spa, all you can hear is the sound of tinkling water and soothing music. Well trained therapists work their Thai magic on your feet making you sink into your cozy chair. Fruits served after your therapy, tickle your taste buds and will make you say ??nce is just not enough!",,"Cosmetics, Salon, Spas , Optics"
Sunglass Hut,All week days - 11am to 10pm.,Palladium Ground Level,,,"Sunglass Hut is an international retailer of sunglasses and sunglass accessories founded in Miami, Florida in 1971. Sunglass Hut is part of the Italian-based Luxottica Group, the worlds largest eyewear company. The store is now open at The Palladium",,"Cosmetics, Salon, Spas , Optics"
Super Dry,All week days - 11am to 10pm.,Palladium Second Level,,,"Superdry is an international brand of apparel with its origins in Great Britain and design inspiration from Japan and classic Americana. The tagline BRITISH DESIGN. SPIRIT OF JAPANs reflects the origins as do the clothes and accessories. It is a young brand (estd. 2004) and shot to fame and popularity after being sported by top celebrities and style icons like David Beckham, Kate Beckinsale and Zac Efron. It was the fastest growing British Apparel Brand in 2010-11 with stock prices going through the roof. Positioned as a campus lifestyle brand internationally.",,General Fashion
Swarovski,All week days - 11am to 10pm.,Palladium Ground Level,,,"In 2010, Swarovski unveiled the new retail design- Crystal Forest and launched it in Mumbais Palladium. The concept embraces a crystal Forest theme, highlighting the infinite possibilities of crystal and illustrates the companys deep affinity with nature. Outside the boutique, the concept interprets the Crystal Forest using a myriad of stainless steel prisms. This sparkling facade takes on the lights and reflections. The unfolding metal facets intrigue with their infinite depths and rich abundance.",,"Watches, Jewellery , Fashion Accessories"
Swatch,All week days - 11am to 10pm.,High Street Units,,,Swatch watches are one of the finest swiss watches. They have the widest collection of watches catering to the youth of today.,,"Watches, Jewellery , Fashion Accessories"
Tanishq,All week days - 11am to 10pm.,Skyzone First Level,,,"Tanishq is the largest national jewelry brand of India and also the first to provide a written guarantee for purity of gold and certification of diamonds. Tanishq offers exquisite designs with ever growing collections and has recently launched Aria a traditional 7 stone collection. Making the perfect Diwali gift for your loved ones, this collection offers a traditional and modern range of jewelry from 22 Kt. to 18 Kt. gold, studded with diamonds, rubies, emeralds and other stones.",,"Watches, Jewellery , Fashion Accessories"
TGI Friday,All week days - 11am to 10pm.,Palladium First Level,,,The restaurant serves TEX- MEX cuisine and can seat 152 people. The operating hours are from 12 PM- till midnight. Happy Hours ( Buy one get one free on the entire beverage menu)- are applicable between 5 pm - 8.30 pm every day.,,"Cafes, Restaurants , Desserts"
The Big Kahuna,All week days - 11am to 10pm.,Foodcourt,,,"The Big Kahuna has a decidedly easy vibe and is the kind of place you can easily spend a few hours, pacing the booze with food from their cross-continental menu. Based on the music they play, Mai Tai, located opposite the PVR Cinema box-office, is for Latin pop lovers.",,"Cafes, Restaurants , Desserts"
The Body Shop,All week days - 11am to 10pm.,Palladium HSU Ground Level and Skyzone Level One,,,"The Body Shop International Plc is the original ethical cosmetics company, now operating more than 2,500 stores in over 60 markets worldwide. The Body Shop has constantly sought out wonderful natural ingredients from all four corners of the globe to bring you products bursting with effectiveness, to enhance your natural beauty. We strive to use our planets resources wisely, searching for outstanding natural materials and ingredients from across the globe to include in our range of products.",,"Cosmetics, Salon, Spas , Optics"
